REF NO.,DATE,CATEGORY,CLIENT: PROJECT,FOREIGN AMOUNT,EXCHANGE RATE,CURRENCY,AMOUNT,DEPARTMENT,LINE OF BUSINESS,OFFICE,BILLABLE,MEMO,RECEIPT,ATTACH FILE,CORPORATE CARD,CARD HOLDER NUMBER
104,4/30/25,Company Meetings and Meals,,5.0,1,USD,5.0,CEO,,,,Every Studio - Marketing graphics and social media design (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1403_every_studio_2025-04-30_5_00.jpg,,
105,4/30/25,Software subscriptions,,32.93,1,USD,32.93,CEO,,,,"Midjourney - Marketing, creative, pitch decks (Monthly)",Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1404_midjourney_inc_2025-04-29_32_92.jpg,,
106,4/30/25,Company Meetings and Meals,,62.28,1,USD,62.28,CEO,,,,Soho House Nashville - Budget review meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1405_soho_house_nashville_2025-04-30_62_28.jpg,,
107,4/30/25,Company Meetings and Meals,,7.67,1,USD,7.67,CEO,,,,Soho House Nashville - Meeting with Tim Staples (Shareability),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1406_soho_house_nashville_2025-04-30_6_00.png,,
108,4/30/25,Company Meetings and Meals,,7.79,1,USD,7.79,CEO,,,,Soho House Nashville - Budget review meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1407_soho_house_nashville_2025-04-30_7_79.png,,
109,4/24/25,Software subscriptions,,21.95,1,USD,21.95,CEO,,,,Claude AI - AI assistant for content creation and coding (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1391_anthropic_pbc_2025-04-23_21_94.jpg,,
110,4/22/25,Software subscriptions,,9.0,1,USD,9.0,CEO,,,,Hugging Face - AI/ML model hosting and development (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1389_hugging_face_inc_2025-04-21_9_00.jpg,,
111,4/14/25,Software subscriptions,,10.0,1,USD,10.0,CEO,,,,Cloudflare - CDN and DNS for Down Home websites (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1378_cloudflare_2025-04-14_10_00.jpg,,
112,4/13/25,Company Meetings and Meals,,25.05,1,USD,25.05,CEO,,,,Brothers Pizza - Lunch with Rachel,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1373_brother_s_pizza_2025-04-12_25_05.jpg,,
113,4/13/25,Software subscriptions,,9.0,1,USD,9.0,CEO,,,,Sourcegraph - Code search and intelligence (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1376_sourcegraph_inc_2025-04-13_9_00.jpg,,
114,4/12/25,Company Meetings and Meals,,11.27,1,USD,11.27,CEO,,,,White Rhino Coffee - Coffee with Scott Siman (Em.co),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/150_tst_white_rhino_coffee_2025-04-12_11_26.jpg,,
115,4/12/25,Software subscriptions,,318.28,1,USD,318.28,CEO,,,,Kit (ConvertKit) - Email marketing platform (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1367_kit_2025-04-12_318_27.jpg,,
116,4/11/25,DH: Travel Costs - Gas/Rental Car,,21.0,1,USD,21.0,CEO,,,,Parking - Downtown meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1365_metropolis_2025-04-10_21_00.jpg,,
117,4/10/25,Company Meetings and Meals,,32.44,1,USD,32.44,CEO,Down Home : Music,,,Soho House Nashville - Meeting with Jay Orr (CMHOF),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1362_soho_house_nashville_2025-04-10_32_43.png,,
118,4/10/25,Company Meetings and Meals,,217.4,1,USD,217.4,CEO,Down Home : Music,,,Green Hills Grille - Lunch with Cindy Mabe (UMG),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1363_tst_green_hills_grille_2025-04-10_217_40.jpg,,
119,4/8/25,Software subscriptions,,10.0,1,USD,10.0,CEO,,,,CalendarBridge - Calendar sync across accounts (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1359_calendarbridge_2025-04-08_10_00.jpg,,
120,4/8/25,Software subscriptions,,13.13,1,USD,13.13,CEO,Down Home : Music,,,Spotify Premium - Music research and industry tracking (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1360_spotify_usa_2025-04-08_13_13.jpg,,
121,4/8/25,Software subscriptions,,92.19,1,USD,92.19,CEO,,,,Topaz Labs - AI photo/video enhancement (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1361_topaz_labs_2025-04-08_92_18.jpg,,
122,4/4/25,Company Meetings and Meals,,33.74,1,USD,33.74,CEO,Down Home : Music,,,Soho House Nashville - Meeting with Jay Orr (CMHOF),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/613_soho_house_nashville_2023-09-20_33_31.png,,
123,4/4/25,DH: Travel Costs - Gas/Rental Car,,15.15,1,USD,15.15,CEO,,,,Parking - Downtown meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1349_metropolis_parking_2025-04-04_15_15.jpg,,
124,4/4/25,DH: Travel Costs - Gas/Rental Car,,26.25,1,USD,26.25,CEO,,,,Parking - Downtown meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1350_metropolis_parking_2025-02-20_26_25.jpg,,
125,4/4/25,Company Meetings and Meals,,11.68,1,USD,11.68,CEO,Down Home : Music,,,Soho House Nashville - Meeting with Dawn Gates (UMG),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1352_soho_house_nashville_2019-09-19_11_63.jpg,,
126,4/4/25,Company Meetings and Meals,,37.63,1,USD,37.63,CEO,,,,Soho House Nashville - Coffee with Mandy Goenner (Taillight),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1353_sh_nashville_other_2025-04-04_37_63.png,,
127,4/2/25,Software subscriptions,,109.75,1,USD,109.75,CEO,,,,Claude AI - AI assistant for content creation and coding (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1347_anthropic_pbc_2025-04-02_109_75.jpg,,
128,4/2/25,Software subscriptions,,27.44,1,USD,27.44,CEO,,,,Claude AI - AI assistant for content creation and coding (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1348_anthropic_pbc_2025-04-02_27_44.jpg,,
129,4/1/25,Software subscriptions,,27.44,1,USD,27.44,CEO,,,,Claude AI - AI assistant for content creation and coding (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1344_anthropic_pbc_2025-04-01_27_44.jpg,,
130,4/1/25,Software subscriptions,,19.76,1,USD,19.76,CEO,,,,Expensify - Expense tracking and reporting (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1345_expensify_2025-04-01_19_76.jpg,,
131,3/31/25,DH: Travel Costs - Gas/Rental Car,,21.0,1,USD,21.0,CEO,,,,Parking - Meeting with Brian Loschiavo (Riverside Entertainment),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1342_metropolis_2025-03-31_21_00.jpg,,
132,3/31/25,Company Meetings and Meals,,36.88,1,USD,36.88,CEO,,,,Soho House Nashville - Weekly team check-in,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1343_soho_house_nashville_2025-03-15_36_88.jpg,,
133,3/30/25,Software subscriptions,,32.93,1,USD,32.93,CEO,,,,"Midjourney - Marketing, creative, pitch decks (Monthly)",Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1340_midjourney_inc_2025-03-29_32_92.jpg,,
134,3/29/25,Software subscriptions,,47.88,1,USD,47.88,CEO,,,,Elementor Pro - Website builder for Down Home sites (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1338_elementor_ltd_2025-03-29_47_88.jpg,,
135,3/28/25,Software subscriptions,,299.88,1,USD,299.88,CEO,,,,Elementor Pro - Website builder for Down Home sites (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/149_elementor_com_2025-03-28_299_87.jpg,,
136,3/28/25,Company Meetings and Meals,,15.0,1,USD,15.0,CEO,,,,Envato Elements - Stock assets and templates (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1336_envato_graphicriver_2025-03-27_15_00.png,,
137,3/25/25,DH: Travel Costs - Gas/Rental Car,,30.73,1,USD,30.73,CEO,,,,Parking - Houston trip,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/148_pmc_parking_2025-03-25_30_73.png,,
138,3/25/25,Company Meetings and Meals,,66.83,1,USD,66.83,CEO,Down Home : Music,,,12 South Taproom - Dinner with Mark Wallace (Music Supervisor),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1330_12_south_taproom_2025-03-25_66_82.jpg,,
139,3/25/25,DH: Travel Costs - Gas/Rental Car,,36.72,1,USD,36.72,CEO,,,,Parking - Houston trip,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1331_metropolis_parking_2025-03-25_36_71.jpg,,
140,3/25/25,Software subscriptions,,48.0,1,USD,48.0,CEO,,,,Obsidian - Note-taking and knowledge management (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1332_obsidian_2025-03-25_48_00.jpg,,
141,3/24/25,Software subscriptions,,21.95,1,USD,21.95,CEO,,,,Claude AI - AI assistant for content creation and coding (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1327_anthropic_pbc_2025-03-23_21_94.jpg,,
142,3/24/25,Company Meetings and Meals,,26.65,1,USD,26.65,CEO,,,,Shipleys Donuts - Breakfast while traveling to Holiday Inn,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1328_shipley_donuts_2025-03-23_26_64.jpg,,
143,3/22/25,Company Meetings and Meals,,46.45,1,USD,46.45,CEO,,,,Two Hands Nashville - Brunch with Mandy Goenner (Taillight),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1323_two_hands_nashvill_2025_03_22__2025-03-22_46_45.jpg,,
144,3/21/25,Software subscriptions,,9.0,1,USD,9.0,CEO,,,,Hugging Face - AI/ML model hosting and development (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1320_hugging_face_inc_2025-03-20_9_00.jpg,,
145,3/21/25,DH: Travel Costs - Gas/Rental Car,,15.99,1,USD,15.99,CEO,,,,Parking - Downtown meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1321_metropolis_2024-08-01_15_99.jpg,,
146,3/14/25,Software subscriptions,,10.0,1,USD,10.0,CEO,,,,Cloudflare - CDN and DNS for Down Home websites (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1315_cloudflare_2025-02-14_10_00.jpg,,
147,3/13/25,Company Meetings and Meals,,55.91,1,USD,55.91,CEO,,,,Uncle Julios Brentwood - Dinner with the Steiners - Missing Receipt,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/575_missing_receipt_form.png,,
148,3/13/25,DH: Travel Costs - Gas/Rental Car,,36.75,1,USD,36.75,CEO,,,,Parking - Meeting with Danny Sheridan,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1313_metropolis_2025-03-12_36_75.jpg,,
149,3/13/25,Software subscriptions,,9.0,1,USD,9.0,CEO,,,,Sourcegraph - Code search and intelligence (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1314_sourcegraph_inc_2025-03-13_9_00.jpg,,
150,3/9/25,Company Meetings and Meals,,112.84,1,USD,112.84,CEO,,,,Soho House Nashville - Meeting with Jason Ross (Down Home),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1310_soho_house_nashville_2025-03-09_112_84.jpg,,
151,3/8/25,Software subscriptions,,10.0,1,USD,10.0,CEO,,,,CalendarBridge - Calendar sync across accounts (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1308_calendarbridge_2025-03-08_10_00.jpg,,
152,3/8/25,Software subscriptions,,13.13,1,USD,13.13,CEO,Down Home : Music,,,Spotify Premium - Music research and industry tracking (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1309_spotify_usa_inc_2024-07-08_13_13.jpg,,
153,3/7/25,DH: Travel Costs - Gas/Rental Car,,4.88,1,USD,4.88,CEO,,,,Parking - Braintrust meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1307_nashville_2025-03-07_4_87.jpg,,
154,3/6/25,DH: Travel Costs - Gas/Rental Car,,26.18,1,USD,26.18,CEO,,,,Parking - Braintrust meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/147_pmc_parking_2025-03-06_26_17.png,,
155,3/6/25,DH: Travel Costs - Gas/Rental Car,,29.63,1,USD,29.63,CEO,,,,Parking - Braintrust meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1300_pmc_paid_parking_2025-03-06_29_62.jpg,,
156,3/6/25,Company Meetings and Meals,,49.31,1,USD,49.31,CEO,,,,Soho House Nashville - Braintrust meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1301_soho_house_nashville_2025-03-06_49_31.png,,
157,3/6/25,Company Meetings and Meals,,23.36,1,USD,23.36,CEO,,,,Soho House Nashville - Coffee with Kayci Kirwan (CAA),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1302_sh_nashville_other_2025_03_06__2025-03-06_6_00.jpg,,
158,3/6/25,Company Meetings and Meals,,30.92,1,USD,30.92,CEO,,,,Just Love Coffee - Pre-Braintrust coffee with Rachel,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1303_just_love_coffee_m_2025_03_06__2025-03-06_30_92.jpg,,
159,3/1/25,Software subscriptions,,19.76,1,USD,19.76,CEO,,,,Expensify - Expense tracking and reporting (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/552_expensify_2025-03-01_19_76.jpg,,
160,2/28/25,DH: Travel Costs - Gas/Rental Car,,9.73,1,USD,9.73,CEO,,,,Parking - Downtown meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1291_metropolis_2025-02-28_9_73.jpg,,
161,2/28/25,Software subscriptions,,32.93,1,USD,32.93,CEO,,,,"Midjourney - Marketing, creative, pitch decks (Monthly)",Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1292_midjourney_inc_2025-02-27_32_92.jpg,,
162,2/26/25,Company Meetings and Meals,,65.36,1,USD,65.36,CEO,,,,Corner Pub - Lunch with Bailey White (Black River),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1285_the_original_corner_pub_2025-02-26_65_35.jpg,,
163,2/26/25,DH: Travel Costs - Gas/Rental Car,,15.99,1,USD,15.99,CEO,Down Home : Music,,,Parking - Meeting with Tyler Stevens (Kinwoven),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1288_metropolis_2025-02-26_15_99.jpg,,
164,2/26/25,Company Meetings and Meals,,85.64,1,USD,85.64,CEO,Down Home : Music,,,Soho House Nashville - Meeting with Tyler Stevens (Kinwoven),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1289_soho_house_nashville_2024-06-11_85_21.jpg,,
165,2/25/25,Software subscriptions,,44.25,1,USD,44.25,CEO,,,,ShoeBoxed - Receipt scanning and organization (Monthly) - Missing Receipt,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1282_missing_receipt_form.png,,
166,2/25/25,Company Meetings and Meals,,49.61,1,USD,49.61,CEO,,,,Bootleggers Inn - Content shoot prep,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1283_bootleggers_inn_2025-02-25_49_60.jpg,,
167,2/24/25,Software subscriptions,,21.95,1,USD,21.95,CEO,,,,Claude AI - AI assistant for content creation and coding (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1280_anthropic_pbc_claude_pro_2025-02-23_21_94.jpg,,
168,2/21/25,DH: Travel Costs - Gas/Rental Car,,26.25,1,USD,26.25,CEO,,,,Parking - Downtown meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1279_metropolis_parking_2025-02-20_26_25.jpg,,
169,2/20/25,Company Meetings and Meals,,7.79,1,USD,7.79,CEO,,,,Soho House Nashville - Finance call,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1277_atha_mnuae_2025-02-20_7_79.png,,
170,2/20/25,Company Meetings and Meals,,261.61,1,USD,261.61,CEO,,,,Soho House - Meeting with Brian Loschiavo (Riverside Entertainment),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1278_sh_nashville_2025-02-20_261_61.jpg,,
171,2/18/25,DH: Travel Costs - Cab/Uber/Bus Fare,,57.62,1,USD,57.62,CEO,,,,Uber to downtown Nashville - VIP meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1275_uber_2025-02-17_57_61.jpg,,
172,2/14/25,Software subscriptions,,10.0,1,USD,10.0,CEO,,,,Cloudflare - CDN and DNS for Down Home websites (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1268_cloudflare_2025-02-14_10_00.jpg,,
173,2/14/25,DH: Travel Costs - Cab/Uber/Bus Fare,,55.95,1,USD,55.95,CEO,,,,Uber around Nashville/Parkland - meetings,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1269_uber_2025-02-13_55_95.jpg,,
174,2/13/25,Software subscriptions,,9.0,1,USD,9.0,CEO,,,,Sourcegraph - Code search and intelligence (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1267_sourcegraph_inc_2025-06-13_9_00.jpg,,
175,2/11/25,Company Meetings and Meals,,24.05,1,USD,24.05,CEO,,,,Tony & Bennys - Breakfast during NYC trip,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1251_tony_bennys_2025-02-11_24_05.jpg,,
176,2/11/25,DH: Travel Costs - Hotel/Lodging,,44.75,1,USD,44.75,CEO,,,,Arthouse Hotel NYC - Breakfast during NYC trip,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1252_arthouse_hotel_new_york_city_2025-02-10_159_00.jpg,,
177,2/11/25,Company Meetings and Meals,,14.24,1,USD,14.24,CEO,,,,Breads Bakery NYC - Breakfast during NYC meetings,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1254_breads_bakery_upper_east_side_2025-02-11_14_24.jpg,,
178,2/8/25,Software subscriptions,,10.0,1,USD,10.0,CEO,,,,CalendarBridge - Calendar sync across accounts (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1249_calendarbridge_2025-02-08_10_00.jpg,,
179,2/8/25,Software subscriptions,,13.13,1,USD,13.13,CEO,Down Home : Music,,,Spotify Premium - Music research and industry tracking (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1250_spotify_usa_2025-02-08_13_13.jpg,,
180,2/7/25,Software subscriptions,,17.29,1,USD,17.29,CEO,Down Home : Music,,,Parking - Meeting with Brittany Schaffer (Spotify),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/146_pmc_parking_2025-02-07_17_28.png,,
181,2/7/25,Software subscriptions,,19.37,1,USD,19.37,CEO,Down Home : Music,,,Char Green Hills - Follow-up lunch with Brittany Schaffer (Spotify),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1244_char_nashville_2025-02-07_19_37.jpg,,
182,2/7/25,Software subscriptions,,38.73,1,USD,38.73,CEO,Down Home : Music,,,First Watch - Breakfast with Brittany Schaffer (Spotify),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1246_first_watch_0462_2025_02_07_60_2025-02-07_38_72.png,,
183,2/7/25,Software subscriptions,,12.35,1,USD,12.35,CEO,Down Home : Music,,,Parking - Meeting with Brittany Schaffer (Spotify) - Missing Receipt,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1248_missing_receipt_form.png,,
184,2/7/25,Company Meetings and Meals,,29.97,1,USD,29.97,CEO,,,,First Watch Cafe - Breakfast with Rachel,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4301_FirstWatch_2025-02-07_29.97.png,,
185,2/5/25,DH: Travel Costs - Gas/Rental Car,,15.99,1,USD,15.99,CEO,,,,Parking - Gambler meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1239_metropolis_2025-02-05_15_99.jpg,,
186,2/5/25,DH: Travel Costs - Gas/Rental Car,,8.4,1,USD,8.4,CEO,,,,Parking - Gambler meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1240_pmc_parking_2025-02-05_8_40.png,,
187,2/5/25,Company Meetings and Meals,,65.86,1,USD,65.86,CEO,,,,Soho House Nashville - Gambler project meeting with Rachel - Missing Receipt,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1241_missing_receipt_form.png,,
188,2/5/25,Company Meetings and Meals,,105.38,1,USD,105.38,CEO,,,,Browns Diner - Lunch during Gambler project,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1242_tst_browns_diner_2025-02-05_105_37.jpg,,
189,2/5/25,Software subscriptions,,130.6,1,USD,130.6,CEO,,,,Apple - Apple Developer Program (Annual),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4336_apple_apple_developer_program__annua_2025-02-05_130_6.png,,
190,2/3/25,Software subscriptions,,23.14,1,USD,23.14,CEO,,,,Apple - Apple One Monthly,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4322_apple_apple_music_family_2025-02-03_23_14.png,,
191,2/1/25,Software subscriptions,,19.76,1,USD,19.76,CEO,,,,Expensify - Expense tracking and reporting (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1235_expensify_2025-02-01_19_76.jpg,,
192,1/30/25,Software subscriptions,,32.93,1,USD,32.93,CEO,,,,"Midjourney - Marketing, creative, pitch decks (Monthly)",Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1233_midjourney_inc_2025-01-29_32_92.jpg,,
193,1/30/25,DH: Travel Costs - Cab/Uber/Bus Fare,,59.62,1,USD,59.62,CEO,,,,Uber from SoBro meeting to home office,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1234_uber_2025-01-29_59_61.jpg,,
194,1/29/25,DH: Travel Costs - Cab/Uber/Bus Fare,,12.72,1,USD,12.72,CEO,,,,Uber around Nashville - downtown meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1232_uber_2025-01-29_12_72.jpg,,
195,1/27/25,Software subscriptions,,40.33,1,USD,40.33,CEO,,,,Apple - Apple One Monthly,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4345_apple_apple_one_premier_2025-01-27_40_33.png,,
196,1/25/25,Software subscriptions,,44.25,1,USD,44.25,CEO,,,,ShoeBoxed - Receipt scanning and organization (Monthly) - Missing Receipt,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1231_missing_receipt_form.png,,
197,1/24/25,Software subscriptions,,21.95,1,USD,21.95,CEO,,,,Claude AI - AI assistant for content creation and coding (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1229_anthropic_2025-01-23_21_94.jpg,,
198,1/24/25,Software subscriptions,,35.0,1,USD,35.0,CEO,,,,Pika Art - AI video generation (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1230_pika_2025-01-24_35_00.jpg,,
199,1/23/25,DH: Travel Costs - Gas/Rental Car,,26.25,1,USD,26.25,CEO,,,,Parking - Downtown meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1228_metropolis_2025-01-22_26_25.jpg,,
200,1/22/25,DH: Travel Costs - Gas/Rental Car,PROJ299 Music City Rodeo,26.25,1,USD,26.25,CEO,,,,Parking - Meeting with Bill Stapleton,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1225_metropolis_2025-01-21_26_25.jpg,,
201,1/22/25,Company Meetings and Meals,PROJ299 Music City Rodeo,52.99,1,USD,52.99,CEO,,,,Soho House Nashville - Meeting with Bill Stapleton,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1226_soho_house_nashville_2025-01-22_52_99.png,,
202,1/22/25,Company Meetings and Meals,,7.76,1,USD,7.76,CEO,,,,Soho House Nashville - Lunch with Rachel,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1227_soho_house_nashville_2025-01-21_7_75.png,,
203,1/21/25,Company Meetings and Meals,,7.76,1,USD,7.76,CEO,Down Home : Music,,,Soho House Nashville - Meeting with Tyler Stevens (Kinwoven),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1221_soho_house_nashville_2025-01-21_7_75.png,,
204,1/21/25,Company Meetings and Meals,,45.24,1,USD,45.24,CEO,Down Home : Music,,,Soho House Nashville - Coffee with Devin Ford (CMA),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1222_soho_house_nashville_2025-01-21_45_24.png,,
205,1/21/25,Company Meetings and Meals,,15.51,1,USD,15.51,CEO,Down Home : Music,,,Soho House Nashville - Meeting with Dawn Gates (UMG Nashville),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1223_soho_house_nashville_2025-01-21_15_50.jpg,,
206,1/18/25,Software subscriptions,,160.0,1,USD,160.0,CEO,Down Home : Music,,,Chartmetric - Music industry analytics (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1218_chartmetric_inc_2025-01-18_160_00.jpg,,
207,1/18/25,DH: Travel Costs - Gas/Rental Car,,10.23,1,USD,10.23,CEO,,,,Parking - Downtown meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1219_metropolis_2025-01-17_10_23.jpg,,
